freq,psd_x,psd_y,psd_z,psd_xyz
172.2,6.849e+03,2.862e+03,5.881e+03,1.559e+04
173.8,6.522e+03,2.582e+03,5.149e+03,1.425e+04
175.4,5.579e+03,2.498e+03,4.022e+03,1.210e+04
177.0,4.224e+03,2.374e+03,2.851e+03,9.449e+03
178.5,2.919e+03,1.933e+03,2.086e+03,6.938e+03
180.1,2.066e+03,1.555e+03,1.634e+03,5.255e+03
181.7,1.807e+03,1.649e+03,1.458e+03,4.914e+03
183.3,1.806e+03,1.820e+03,1.363e+03,4.990e+03
184.9,1.573e+03,1.728e+03,1.183e+03,4.484e+03
186.4,1.295e+03,1.686e+03,1.027e+03,4.009e+03
188.0,1.092e+03,1.649e+03,9.089e+02,3.651e+03
189.6,9.264e+02,1.486e+03,7.895e+02,3.202e+03
191.2,8.664e+02,1.223e+03,8.074e+02,2.897e+03
192.8,9.256e+02,1.011e+03,9.244e+02,2.861e+03
194.3,9.548e+02,9.358e+02,1.010e+03,2.900e+03
195.9,9.765e+02,8.082e+02,1.048e+03,2.832e+03
197.5,1.198e+03,7.346e+02,1.223e+03,3.155e+03
199.1,1.686e+03,8.226e+02,1.458e+03,3.967e+03
